game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
Inscryption₹699,Inscryption,₹699,Daniel Mullins Games,Card GameHorrorPuzzle,Single PlayerController Support,Devolver Digital,10/20/21,Windows 10,Intel Core i5-3470 (4 * 3200); AMD FX-4350 (4 * 4200),8 GB RAM,GeForce GTX 1050 2048 VRAM; Radeon RX 460 4096 VRAM,GeForce GTX 550 Ti (3072 VRAM); Radeon HD 6850 (1024 VRAM),98%,Mighty,PlatformWindowsWindows,86
Hundred Days - Winemaking Simulator₹589,Hundred Days - Winemaking Simulator,₹589,Broken Arms Games,IndieSimulationStrategy,Single Player,Broken Arms Games,05/13/21,Windows 10,"Intel Core i5-2500, AMD FX-8100 or equivalent",8 GB RAM,NVIDIA® GeForce® GT 600 or AMD Radeon™ equivalent,2 GB,,,PlatformWindowsWindowsMac OSMac OS,
"Grand Theft Auto V: Premium Edition₹2,321.44",Grand Theft Auto V,"₹2,321.44",Rockstar Games,ActionAdventure,,Rockstar Games,05/14/20,"Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1",Intel Core i5 3470 @ 3.2GHZ (4 CPUs) / AMD X8 FX-8350 @ 4GHZ (8 CPUs),8 GB RAM,NVIDIA GTX 660 2GB / AMD HD7870 2GB,90 GB available space,92%,Mighty,PlatformWindowsWindows,92
InnerSpace₹521,InnerSpace,₹521,PolyKnight Games,Exploration,Single Player,Aspyr Media,01/16/18,Windows 7 or Windows 10,AMD A8-7600 (3.1 Ghz) OR Intel Core i3 4170 (3.7 Ghz),8 GB RAM,Nvidia GPU GeForce GTX 650 / AMD GPU Radeon HD 6850 / Intel Iris Pro 5200,5 GB available space,25%,Fair,PlatformWindowsWindowsMac OSMac OS,66
Godstrike₹349,Godstrike,₹349,Overpowered Team,ActionIndie,Single Player,Freedom Games,10/14/21,Windows 10 / 8 / 7,Intel Core i5-4690 / AMD FX 6350,8 GB RAM,2GB,4 GB Video RAM - NVIDIA GeForce GTX,21%,Weak,Windows,55
Death Coming₹317,Death Coming,₹317,NExT Studios,CasualPuzzleStrategy,Single Player,NExT Studios,05/07/20,"Windows Vista, Windows 7, Windows 10",Intel i3,8 GB RAM,,500 MB available space,,,PlatformWindowsWindows,
"Assassins Creed Odyssey Standard Edition₹2,999",Assassins Creed Odyssey,"₹2,999",Ubisoft,ActionRPG,Controller SupportSingle Player,Ubisoft,10/05/18,"Windows 7 SP1, Windows 8.1, Windows 10 | 64 bit only",AMD FX-8350 @ 4.0 GHz | Ryzen 5 - 1400 | Intel Core i7-3770 @ 3.5 GHz or better,8 GB RAM,AMD Radeon R9 285 | NVIDIA GeForce GTX 660 | 2GB VRAM with Shader Model 5.0,46+ GB available space,83%,Mighty,PlatformWindowsWindows,84
Layers of Fear 2₹469,Layers of Fear 2,₹469,Bloober Team SA,HorrorIndie,,Gun Media,10/22/20,Windows 10,Intel Core i5-6500 (3.2 GHz) / AMD Ryzen 5 1600,8 GB RAM,GeForce GTX 750 Ti / AMD Radeon R7 265,14 GB Available Space,43%,Fair,PlatformWindowsWindows,70
DARQ: Complete Edition₹469,DARQ: Complete Edition,₹469,Unfold Games,HorrorPuzzleAdventure,Single Player,Unfold Games,10/28/21,"Windows 10, 64-bits",Intel Core i7,8 GB RAM,,3 GB available space,62%,Strong,PlatformWindowsWindows,75
Bloodroots₹595,Bloodroots,₹595,Paper Cult,ActionAction-AdventureAdventureIndie,Single Player,Paper Cult,02/28/20,Windows 10,Intel Core i5 quad-core 3.4GHz or equivalent,8 GB RAM,GeForce GTX 660 (2048 MB) / Radeon HD 7970,4 GB available space,77%,Strong,PlatformWindowsWindows,78
"Mount & Blade II: Bannerlord₹2,499",Mount & Blade II,"₹2,499",TaleWorlds Entertainment,ActionSimulationRPG,,TaleWorlds Entertainment,06/18/20,Windows 10 (64-bit only),Intel® Core™ i5-9600K / AMD Ryzen™ 5 3600X,8 GB RAM,NVIDIA® GeForce® GTX 1060 3GB / AMD Radeon™ RX 580,Intel® UHD Graphics 630 / NVIDIA® GeForce® GTX 660 2GB / AMD Radeon™ HD 7850 2GB,,,PlatformWindowsWindows,
Next Up Hero₹563,Next Up Hero,₹563,Digital Continue,ActionDungeon CrawlerRPG,Controller Support,"Aspyr Media, Inc.",07/23/20,"Windows 7, Windows 10",Intel Core i3 (3.4 GHz) or AMD A8-7600 (3.1 GHz),8 GB RAM,AMD Radeon HD 6850 / NVIDIA GeForce 650 / Intel Iris Pro 5200,5 GB available space,,,PlatformWindowsWindows,
Murder by Numbers₹349,Murder by Numbers,₹349,Mediatonic,PuzzleAdventureIndie,,The Irregular Corporation,03/23/21,Windows 7 or higher (64 bit),Intel Core i5 or higher,8 GB RAM,GeForce GTX 660 (2048 MB) or Radeon R9 285 (2048 MB),2 GB,83%,Strong,Windows,81
The Pathless₹968,The Pathless,₹968,Giant Squid,RPG,Single Player,Annapurna Interactive,11/12/20,Windows 10,Intel Core i7-6700 | AMD Ryzen 7 1800X,8 GB RAM,Nvidia GeForce GTX 1070 | AMD Radeon RX Vega 56,Nvidia GeForce GTX 660 | AMD Radeon HD 7870,82%,Strong,PlatformWindowsWindows,79
SpellForce 3: Soul Harvest₹809,SpellForce 3: Soul Harvest,₹809,Grimlore Games,RPGStrategy,MultiplayerSingle Player,THQ Nordic,07/16/21,"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB RAM,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",15 GB,,,Windows,
Deliver Us The Moon₹589,Deliver Us The Moon,₹589,Keoken Interactive,AdventureFirst PersonIndie,Single Player,Wired Productions,11/02/21,Windows 10,"Quad Core Processor, 3 GHz or faster",8 GB RAM,Nvidia GeForce GTX 750 2GB vRAM,10 GB available space,71%,Strong,Windows,76
Asemblance: Oversight₹189,Asemblance: Oversight,₹189,Nilo Studios,Indie,Single Player,Nilo Studios,09/03/21,Windows 7 / Windows 8 / Windows 10,Core i5 processor or equivalent,8 GB RAM,Intel HD4400 / AMD Radeon 5750 1Gb VRAM / NVidia Geforce 640 1Gb VRAM,5 GB available space,,,Windows,
"Tyranny - Gold Edition₹1,099",Tyranny - Gold Edition,"₹1,099",Obsidian Entertainment,ActionRPGAdventure,,Paradox Interactive,12/10/20,Windows 7 64-bit or newer,Intel Core i3-2100 @ 3.10 GHz / AMD Phenom II X4 955 @ 3.10 GHz,8 GB RAM,DirectX Compatible Sound Card,15 GB available space,73%,Strong,Windows,81
Olija₹459,Olija,₹459,Skeleton Crew Studio,ActionAdventureIndie,,Devolver Digital,01/28/21,"Windows 7, 8.1, 10 x64","Intel Core i5-2500K (4 * 3300) or equivalent, AMD FX-6350 (6 * 3900) or equivalent",8 GB RAM,,2 GB available space,71%,Strong,PlatformWindowsWindows,79
Outer Wilds₹745,Outer Wilds,₹745,Mobius Digital,ExplorationNarration,Controller SupportSingle Player,Annapurna Interactive,05/28/19,Windows 10,Intel Core i5-8400 | AMD Ryzen 5 2600X,8 GB RAM,Nvidia GeForce GTX 1060 | AMD Radeon RX 580,"Nvidia GeForce GTX 560 | AMD Radeon HD 7870, 2 GB",85%,Mighty,PlatformWindowsWindows,86
Encased₹699,Encased,₹699,Dark Crystal Games,ActionRPGAction-AdventureAdventure,Single Player,Prime Matter,09/07/21,"WINDOWS® 7, 8, 8.1, 10","Intel® Core™ i7-3.7 GHz or better, or AMD Equivalent",8 GB RAM,NVIDIA® GeForce® GTX 660m or AMD Radeon™ R7 260x (2GB of video memory),20 GB available space,58%,Fair,PlatformWindowsWindows,74
"Maneater₹1,117",Maneater,"₹1,117",Tripwire Interactive,ActionRPG,Single Player,Tripwire Interactive,05/22/20,Windows 10,Intel Core i7-3770 / AMD Ryzen 5 1500X or Higher,8 GB RAM,Intel HD 5500,20 GB of space,,,PlatformWindowsWindows,
Crash Drive 3₹469,Crash Drive 3,₹469,M2H,Open WorldRacing,MultiplayerSingle PlayerController Support,M2H,07/08/21,Windows 10 64-bit,3.0+ GHz Quad core,8 GB RAM,,6 GB available space,47%,Fair,PlatformWindowsWindows,73
Darksiders Warmastered Edition₹699,Darksiders Warmastered Edition,₹699,"KAIKO, Vigil Games",ActionRPGAdventure,Controller Support,THQ Nordic,11/26/16,"Windows 7, Windows 8, Windows 10",Intel or AMD Dual Core CPU,8 GB RAM,DirectX 11 Feature Level AMD or NVIDIA Card with 1 GB VRAM,36 GB available space,77%,Strong,PlatformWindowsWindows,77
Realpolitiks II₹899,Realpolitiks 2,₹899,Jujubee S.A.,IndieStrategy,Single Player,1C Entertainment,05/12/21,Windows 7/8/10 64-bit,3.2 GHz Quad Core Processor,8 GB RAM,"GeForce GTX 760, Radeon HD 7950 or equivalent with 2 GB of video RAM. A dedicated video card is required.",14 GB,,,Windows,
"Sherlock Holmes: The Devil's Daughter₹1,499",Sherlock Holmes: The Devil's Daughter,"₹1,499",Frogwares,ActionPuzzleAdventure,Controller SupportSingle Player,Frogwares,06/25/21,Windows 7 64 Bit / Windows 8.1 64 Bit / Windows 10 64 Bit,INTEL Core i5 2100 3.1 GHZ / AMD A8-7600 3.1 GHz,8 GB RAM,20 GB available space,2048MB 100% DirectX 11 compatible ATI R9 270X / NVIDIA GeForce 760 GTX or higher,13%,Weak,Windows,65
Before Your Eyes₹349,Before Your Eyes,₹349,GoodbyeWorld Games,First PersonIndieNarration,Single Player,Skybound Games,04/08/21,Windows 10 64-bit,"AMD Ryzen 1500X, 3.5Ghz or equivalent",8 GB RAM,"Intel HD Graphics 520, or AMD Radeon Vega Integrated Graphics",5 GB available space,72%,Mighty,PlatformWindowsWindows,84
Cozy Grove₹459,Cozy Grove,₹459,Spry Fox,CasualIndie,Single PlayerController Support,Spry Fox,04/08/21,Windows 10,Intel Core i7 3.0 GHz or equivalent,8 GB Ram,,5 GB available space,,,PlatformWindowsWindows,
Gods Will Fall₹459,Gods Will Fall,₹459,Clever Beans,Action-Adventure,,Deep Silver,01/29/21,Windows 10 x64,Intel Core i5 or AMD equivalent,8 GB RAM,NVIDIA GTX 460 or AMD equivalent,7 GB available space,,,PlatformWindowsWindows,
Axiom Verge 2₹469,Axiom Verge 2,₹469,Thomas Happ Games LLC,AdventureIndie,Single Player,Thomas Happ Games LLC,08/12/21,Windows 10,Intel Core i5,8 GB RAM,Intel HD Graphics 4400,9 GB available space,76%,Strong,PlatformWindowsWindows,78
Air Missions: HIND₹469,Air Missions: HIND,₹469,"3DIVISION, Games Farm s.r.o.",ActionCasualSimulation,MultiplayerController Support,"Nicalis, Inc.",09/27/21,Windows 7 or higher,"Quadcore - 3,5 GHz",8192 MB RAM,DirectX10.1 compatible with 1GB VRAM and ShaderModel 4.0 support,4000 MB available space,,,Windows,
Cruel Bands Career₹89,Cruel Bands Career,₹89,heran&99,AdventureIndieCasual,Single PlayerController Support,indienova,09/30/21,"Windows 10, 64-bit",2.4 GHz,8G,"AMD R7 200 series, GeForce GTX 500 series",500 MB available space,,,Windows,
Milky Way Prince – The Vampire Star₹349,Milky Way Prince – The Vampire Star,₹349,Lorenzo Redaelli / Eyeguys,HorrorIndieNarration,Single Player,Santa Ragione,08/13/20,Windows 10,2.0GHz CPU,8GB,,3GB,,,PlatformWindowsWindowsMac OSMac OS,
Pascal's Wager: Definitive Edition₹469,Pascal's Wager: Definitive Edition,₹469,TipsWorks,ActionRPG,Single PlayerController Support,Giant Mobile,06/23/21,"Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-3770 / AMD® FX-8350,8GB,NVIDIA® GeForce GTX 750 Ti / AMD Radeon HD 7950,25GB,,,Windows,
Pathway₹525,Pathway,₹525,Robotality,Turn-BasedRogue-LiteStrategy,Single Player,Chucklefish,06/11/20,Windows 10 (64bits),2.0+ Ghz QuadCore CPU,8GB,,2GB,35%,Fair,PlatformWindowsWindowsMac OSMac OS,69
Untitled Goose Game₹595,Untitled Goose Game,₹595,House House,PuzzleComedyStealth,Single Player,Panic,09/20/19,Windows 7 SP1+ (64 Bit),Intel Core i5 6600+ or AMD Ryzen 3 1300+,8GB,DX10 Graphics (Shader Model 4),DX10 Graphics (Shader Model 4),83%,Strong,PlatformWindowsWindowsMac OSMac OS,80
"Carnival Games₹2,799",Carnival Games,"₹2,799",Mass Media Games,CasualParty,Controller SupportMultiplayerSingle Player,2K,11/20/20,Windows 10 (32-bit) SP1,Intel® Core™ i5-7500 or AMD equivalent,8GB,NVIDIA GeForce GTX 650 or AMD Radeon HD 5770 with 1GB VRAM,5 GB,,,Windows,
OMNO₹449,OMNO,₹449,Studio Inkyfox,AdventureerIndie,Single Player,Future Friends Games,07/29/21,Windows 10,Intel Core i5 or AMD Ryzen 3,8GB,,5GB,78%,Strong,PlatformWindowsWindows,79
Barony₹455,Barony,₹455,Turning Wheel LLC,Dungeon CrawlerFirst Person,Co-opSingle Player,Turning Wheel LLC,07/30/20,Windows 8.1,Intel i5 3.5 ghz,8GB,Two-button mouse,800MB,,,PlatformWindowsWindowsMac OSMac OS,
Foregone₹469,Foregone,₹469,Big Blue Bubble,ActionRPGer,Single Player,Big Blue Bubble,02/26/20,Windows 7 or later,Intel Core i5 3.0 GHz,8GB,GeForce GTX 660 or equivalent,GeForce GTX 660 or equivalent,,,PlatformWindowsWindows,
Dead Age 2₹499,Dead Age 2,₹499,Silent Dreams,RPGAdventure,Single Player,Headup,09/02/21,Windows 10 64 Bit,Intel CPU Core i7-3770 or AMD Ryzen 5 1600,8GB,GeForce 2 GB or Radeon  2 GB with Direct X 11 Support,7GB,,,Windows,
"HUMANKIND™ Standard Edition₹2,399",HUMANKIND™,"₹2,399",AMPLITUDE Studios,Strategy,MultiplayerSingle Player,SEGA,08/17/21,OS: Win 7 64-bit,Intel i5 6th generation (or better) / AMD Ryzen 5 1600 (or better),8GB,NVIDIA GTX 770 / AMD R9 290,25GB,64%,Strong,PlatformWindowsWindowsMac OSMac OS,80
CORRUPTION 2029₹595,Corruption 2029,₹595,The Bearded Ladies,Turn-BasedStealth,Single Player,The Bearded Ladies,02/07/20,Windows 10,Intel Core i7-4771 (4 * 3500) or equivalent OR AMD FX-9370 (8 * 4400) or equivalent,8GB,GeForce GTX 970 (4096 MB) OR Radeon RX Vega 56 (8192 MB),GeForce GTX 660 (2048 MB) OR Radeon HD 7850 (2048 MB),,,PlatformWindowsWindows,
Sundered: Eldritch Edition₹529,Sundered: Eldritch Edition,₹529,Thunder Lotus,ActionIndie,Controller Support,Thunder Lotus,07/28/17,Microsoft® Windows® 10 (64-bit),2.4 GHz Processor,8GB,DirectX 10-compatible graphics card with at least 1GB of video memory,3GB,87%,Strong,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,81
"The Binding of Isaac: Repentance₹1,179",The Binding of Isaac: Repentance,"₹1,179",Nicalis Inc. | Edmund McMillen,ActionRPGRogue-LiteAdventure,Co-opSingle PlayerController Support,"Nicalis, Inc.",03/31/21,Windows 10,i9,8GB,,1GB,,,PlatformWindowsWindows,
CastleStorm 2₹469,CastleStorm II,₹469,Zen Studios,ActionStrategy,Multiplayer,Zen Studios,09/23/20,Windows 10,Intel i3 4xxx 2.5 Ghz or greater / AMD equivalent,8GB,Nvidia GeForce 700 series / AMD equivalent,6GB,,,PlatformWindowsWindows,
Before We Leave₹595,Before We Leave,₹595,Balancing Monkey Games,City BuilderStrategyIndie,Single Player,Team17,05/08/20,Windows 10 64 Bit,Intel Core i5-9400 or AMD Ryzen 5 3400G,8GB,NVIDIA GeForce GTX 550 Ti or AMD Radeon HD 4890,2GB,63%,Strong,PlatformWindowsWindowsMac OSMac OS,76
"Yooka-Laylee₹1,999",Yooka-Laylee,"₹1,999",Playtonic,IndieAdventureer,Controller SupportMultiplayerSingle Player,Team17,08/19/21,Windows 10 (64bit),Intel i5-2500 3.3GHz,8GB,NVidia GTS450 / AMD Radeon 6850HD,9GB,56%,Fair,Windows,72
Mars Horizon₹469,Mars Horizon,₹469,Auroch Digital,SimulationStrategyIndie,,The Irregular Corporation,06/22/21,Windows 10,2.0GHz Dual Core Processor or higher,8GB,GeForce GT 740 (2048 MB) / Radeon HD 5770 (1024 MB) or equivalent,4GB,,,Windows,
ReadySet Heroes₹595,ReadySet Heroes,₹595,Robot Entertainment,ActionPartyRPG,Co-opMultiplayer,PlayStation PC LLC,10/29/19,Windows 7/8/10,Intel® Core™ i5-6400 or AMD FX 8320,8GB,Nvidia GTX 780 Ti / AMD Radeon R9 290X,6GB,,,PlatformWindowsWindows,
Afterparty₹595,Afterparty,₹595,Night School Studio,Adventure,,Night School Studio,10/29/19,Windows 10,Intel Core i5 3.0 GHz,8GB,Radeon RX 460 or equivalent,5GB,62%,Strong,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,75
Scrapnaut₹329,Scrapnaut,₹329,SpiffyBit,ExplorationSurvivalOpen World,Co-opSingle Player,RockGame S.A.,03/03/21,Windows 10 64 Bit,Intel Core i5 3.4 GHz,8GB,NVIDIA GeForce GTX 670,4GB,,,PlatformWindowsWindows,
Ancient Enemy₹349,Ancient Enemy,₹349,Grey Alien Games,Card GameIndie,,Grey Alien Games,03/18/21,Windows 8.1,3Ghz,8GB,512MB VRAM,200MB,,,Windows,
Startup Panic₹349,Startup Panic,₹349,Algo Rocks,IndieSimulationStrategy,Single Player,tinyBuild,12/03/20,Windows 7+ (64 bits),Intel Core i5 3 Ghz +,8GB,,"Living The DreamManage your time as a bedroom programmer. Pick projects, contract-work and vacation days to get by, then start to build some passive income through your startup.Beware though: Once you start hiring your first employees and upgrading your office, you'll attract the attention of competing businesses...Don't Panic!You decide how each project goes and what to focus onSpend a week training your staff, or earning money, or building features... but choose wisely!Upgrade your company in the skill tree: Will you take longer vacations or cheaper air-co?Hunt for new employees and hire the ones that fit your style: Social butterfly? Marketing expert? Lone Wolf?Compete with rival CEOs for new users in your region, and then expand out by building new headquarters on a world map!Hurting for cash? You can take out a loan or search for investors, but don't think it'll come for free...",,,PlatformWindowsWindows,
Road 96₹596,Road 96,₹596,Digixart,AdventureIndie,Single PlayerController Support,Ravenscourt,08/16/21,Windows 10,i5 4460 or equivalent,8GB,NVIDIA GTX 1060 or equivalent,20 GB,73%,Strong,PlatformWindowsWindows,77
Calico₹279,Calico,₹279,Peachy Keen Games,CasualSimulationOpen World,Single Player,Whitethorn Games,12/15/20,Windows 10,"X64 Multi Core CPU, 2GHZ+",8GB Ram,,1.5GB Available,45%,Weak,PlatformWindowsWindows,55
Automachef₹459,Automachef,₹459,Hermes Interactive,SimulationIndie,Single Player,Team17,08/26/21,Windows 10 64-bit,Intel Core i5-4460 or Ryzen 3 2200G,8GB RAM,GeForce GTX 550 Ti or Radeon HD 7770,6GB,56%,Fair,Windows,66
Real Farm - Gold Edition₹529,Real Farm - Gold Edition,₹529,SOEDESCO,SimulationOpen WorldAdventure,,SOEDESCO,06/24/21,Windows 10,3.5GhZ Intel i5,8GB RAM,,Privacy Policy,,,PlatformWindowsWindows,
The Last Campfire₹372,The Last Campfire,₹372,Hello Games,PuzzleAdventure,Single Player,Hello Games,08/27/20,Windows 10 (64Bit),Intel Core i5 2.8 Ghz,8GB RAM,NVIDIA GTX 480/AMD Radeon 7870,2GB,,,PlatformWindowsWindows,
"Dungeons 3₹1,799",Dungeons 3,"₹1,799",Realmforge Studios,Strategy,MultiplayerSingle Player,Kalypso Media,11/05/20,Windows 10 64-bit,Quad core 3.5 GHz or higher (Intel i5 4000 Series / AMD Ryzen 3 Series),8GB RAM,Clash of Gods,Clash of Gods,63%,Strong,PlatformWindowsWindows,75
"3 out of 10, EP 2: Foundation 101Free","3 out of 10, EP 2: ""Foundation 101""",Free,"Terrible Posture Games, Inc.",ExplorationComedyAdventure,Single Player,"Terrible Posture Games, Inc.",08/13/20,Windows 7/8/10 [64-bit],3.5 GHz Intel Core i5 or AMD FX,8GB RAM,Nvidia GTX 660 or AMD Radeon HD 7870 with 2GB VRAM,1GB,,,PlatformWindowsWindows,
Slipways₹399,Slipways,₹399,Beetlewing,PuzzleStrategy,Single Player,Beetlewing,06/03/21,Windows 10,"any Dual Core CPU, 2+ GHz",8GB RAM,GeForce 7xx series or equivalent,2GB,,,PlatformWindowsWindowsMac OSMac OS,
"3 out of 10, EP 5: The Rig Is Up!Free","3 out of 10, EP 5: ""The Rig Is Up!""",Free,"Terrible Posture Games, Inc.",ExplorationComedyAdventure,Controller Support,"Terrible Posture Games, Inc.",09/03/20,Windows 7/8/10 [64-bit],3.5 GHz Intel Core i5 or AMD FX,8GB RAM,Nvidia GTX 660 or AMD Radeon HD 7870 with 2GB VRAM,1GB,,,PlatformWindowsWindows,
3 out of 10: Season TwoFree,3 out of 10: Season Two,Free,"Terrible Posture Games, Inc.",ComedyAdventure,Single PlayerController Support,"Terrible Posture Games, Inc.",04/08/21,Windows 7/8/10 [64-bit],3.5 GHz Intel Core i5 or AMD FX,8GB RAM,Nvidia GTX 660 or AMD Radeon HD 7870 with 2GB VRAM,1GB,,,PlatformWindowsWindows,
Beyond Two Souls₹899,Beyond: Two Souls,₹899,Quantic Dream,ActionNarration,Single Player,Quantic Dream,07/22/19,Windows 7 or later (64 bit),i5-6600K @ 3.5GHz or equivalent,8GB RAM,Nvidia GeForce GTX 970 with 4GB or AMD Radeon R9 390 with 4GB,49GB,47%,Fair,PlatformWindowsWindows,71
"3 out of 10, EP 1: Welcome To ShovelworksFree","3 out of 10, EP 1: ""Welcome To Shovelworks""",Free,"Terrible Posture Games, Inc.",Action,Single Player,"Terrible Posture Games, Inc.",08/06/20,Windows 7/8/10 [64-bit],3.5 Ghz Intel Core i5 or AMD FX,8GB RAM,Nvidia GTX 660 or AMD Radeon HD 7870 with 2GB VRAM,1GB,,,PlatformWindowsWindows,
"3 out of 10, EP 4: Thank You For Being An AssetFree","3 out of 10, EP 4: ""Thank You For Being An Asset""",Free,"Terrible Posture Games, Inc.",ExplorationComedyAdventure,Controller Support,"Terrible Posture Games, Inc.",08/27/20,Windows 7/8/10 [64-bit],3.5 Ghz Intel Core i5 or AMD FX,8GB RAM,Nvidia GTX 660 or AMD Radeon HD 7870 with 2GB VRAM,1GB,,,PlatformWindowsWindows,
DiaboticalFree,Diabotical,Free,The GD Studio,ShooterAdventure,MultiplayerCompetitive,The GD Studio,09/03/20,Windows 10 (64-bits),Core i5 2.8GHz,8GB RAM,Nvidia GeForce GTX 970,15 GB,,,PlatformWindowsWindows,
Monkey Barrels₹349,Monkey Barrels,₹349,"Good-Feel Co., Ltd.",ActionShooterIndie,,"Good-Feel Co., Ltd.",02/09/21,Windows 10 (64bit),Intel Core i5-6600K,8GB RAM,GeForce GTX 750 Ti,4GB,,,PlatformWindowsWindows,
Heavy Rain₹899,Heavy Rain,₹899,Quantic Dream,ActionNarration,Single Player,Quantic Dream,06/24/19,Windows 7 or later (64 bit),i5-6600K @ 3.5GHz or equivalent,8GB RAM,Nvidia GeForce GTX 970 with 4GB or AMD Radeon R9 390 with 4GB,35GB,44%,Fair,PlatformWindowsWindows,73
"King's Bounty II₹1,899",King's Bounty II,"₹1,899",1C Entertainment,RPGAdventure,Single Player,"Prime Matter,1C Entertainment",08/24/21,Windows 10,Intel Core i5-7400 | AMD Ryzen 7 1700X,8GB RAM,,20GB available place (SSD),,,PlatformWindowsWindows,
The Solitaire Conspiracy₹297,The Solitaire Conspiracy,₹297,Bithell Games,StrategyCard GameIndie,,Bithell Games,10/06/20,Windows 10,2.4 GHz Intel Core i9,8GB RAM,,1GB,73%,Fair,PlatformWindowsWindowsMac OSMac OS,74
"Aven Colony₹1,250",Aven Colony,"₹1,250",Mothership Entertainment LLC,SimulationCity BuilderStrategy,Single Player,Team17,11/04/21,Windows 10 64-bit,Intel Core i5-4670 or AMD A10-7850k,8GB RAM,,25GB,43%,Fair,Windows,72
Beast Breaker₹349,Beast Breaker,₹349,Vodeo Games,PuzzleStrategyAdventure,Single Player,Vodeo Games,09/23/21,Windows 10 64-bit,Dual Core 3.0 GHz processor,8GB RAM,Intel HD Graphics 620,1GB available space,,,PlatformWindowsWindowsMac OSMac OS,
"3 out of 10, EP 3: Pivot Like A ChampionFree","3 out of 10, EP 3: ""Pivot Like A Champion""",Free,"Terrible Posture Games, Inc.",ExplorationComedyAdventure,,"Terrible Posture Games, Inc.",08/20/20,Windows 7/8/10 [64-bit],3.5 GHz Intel Core i5 or AMD FX,8GB RAM,Nvidia GTX 660 or AMD Radeon HD 7870 with 2GB VRAM,1GB,,,PlatformWindowsWindows,
"Ghost Recon Breakpoint Standard Edition₹2,999",Ghost Recon Breakpoint,"₹2,999",Ubisoft Paris,ShooterOpen World,Controller SupportCo-opSingle Player,Ubisoft,10/04/19,Windows 7/8.1 /10,AMD Ryzen 5 1600 / Intel Core I7 6700K,,AMD Radeon RX 480 (8 GB)/ Nvidia Geforce GTX 1060 (6 GB),"Tom Clancy’s Ghost Recon BreakpointBecome an elite spec ops soldier known as a Ghost, tasked with a special mission to Auroa. The remote archipelago somewhere in the South Pacific has lost contact with outside world due to Skell Technology turning hostile. The Wolves, a rogue spec ops team, led by your ex–brother-in-arms, have taken over and are hunting you down. Lead your team through the island landscape and save the civilians without being noticed.Tailor your experience to fit your playstyle:Solo, as the leader of up 3 fully customizable AI teammates.Or, play in co-op PvE with up to 3 friends.Upgrade to the Deluxe Edition, Gold Edition, or Ultimate Edition to get the most out of your experience.",16%,Weak,PlatformWindowsWindows,57
Horace₹446,Horace,₹446,Paul Helman,AdventureerIndie,Single Player,505 Games,07/18/19,Windows 10,Intel i7,12GB,Any DX12 graphics card,8GB,81%,Strong,PlatformWindowsWindows,81
John Wick Hex₹595,John Wick Hex,₹595,Bithell Games,ActionStrategy,Single Player,Good Shepherd Entertainment,10/08/19,Windows 10,3.1 GHz Intel Core i7,,Dedicated Graphics Card,16 GB 2133 MHz LPDDR3,65%,Strong,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,75
Enter the Gungeon₹521,Enter the Gungeon,₹521,Dodge Roll,ActionIndieAdventure,Controller SupportSingle Player,Devolver Digital,04/05/16,Windows 7 or later,Intel Core 2 Duo E6320 (2*1866) or equivalent,,GeForce 7600 GS (512 MB) or equivalent,2GB RAM,90%,Mighty,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,84
Super Meat Boy Forever₹469,Super Meat Boy Forever,₹469,Team Meat,Actioner,Single Player,Team Meat,12/23/20,Windows 10,64bit AMD or Intel made within the last 3 years,11,GeForce 900 / AMD Radeon RX 400+ or better,16GB,39%,Fair,PlatformWindowsWindows,66
Magic: The Gathering ArenaFree,Magic: The Gathering Arena,Free,Wizards of the Coast,StrategyCard Game,Multiplayer,Wizards of the Coast,01/16/20,Windows 10  ( 64bit ),Intel Core2 Quad Q9300 @ 2.50GHz,,GeForce GTX 560,4 GB,93%,Strong,PlatformWindowsWindowsMac OSMac OS,83
Huntdown₹595,Huntdown,₹595,Easy Trigger Games,Actioner,Co-op,Coffee Stain Publishing,05/12/20,Windows 7/8.1/10 (64-bit versions),"i5-2500k@3.3GHz, AMD FX 6300 3.5GHz",,"GeForce GTX 750, AMD R7 370",4 GB RAM,89%,Mighty,PlatformWindowsWindowsMac OSMac OS,85
The Escapists 2₹521,The Escapists 2,₹521,Team17 and Mouldy Toof Studios,IndieSimulationStrategy,,Team17 Digital Ltd,07/09/20,Windows 7/8.1/10 (64-bit versions),"i5-2500k@3.3GHz, AMD FX 6300 3.5GHz",11,"GeForce GTX 750, AMD R7 370",Dungeons and Duct Tape,61%,Strong,PlatformWindowsWindows,75
