game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
Power to the People₹349,Power to the People,₹349,DeveloperHermes Interactive,SimulationStrategyCity Builder,Single Player,PublisherCrytivo Inc.,Release Date03/22/22,Windows 7 64-bit,,4 GB RAM,4 GB available space,GeForce GTX 550 Ti or Radeon HD 7770,,,Windows,
Hercule Poirot - The First Cases₹999,Agatha Christie - Hercule Poirot: The First Cases,₹999,DeveloperBlazing Griffin,Adventure,Single Player,PublisherMicroids,Release Date02/28/22,"Windows 7, Windows 8, Windows 8.1, Windows 10 (64-bit)",,4 GB,,"GeForce GTX 580, DirectX 10-compatible video card",,,Windows,
Pile Up₹349,Pile Up! Box by Box,₹349,DeveloperSeed by Seed,Action,Co-op,PublisherHandyGames,Release Date03/25/22,Requires a 64-bit processor and operating system,,4 GB RAM,5 GB available space,GeForce GTX 630 / Radeon HD 6570,,,PlatformWindowsWindows,
Hextech Mayhem: A League of Legends Story™₹479,Hextech Mayhem: A League of Legends Story™,₹479,DeveloperChoice Provisions,PlatformerIndie,Single Player,PublisherRiot Forge,Release Date11/16/21,Windows 10 64-bit,,6GB,,GeForce GTX 650 or Radeon HD 7770 (2 GB VRAM required),,,PlatformWindowsWindows,
"Weird West₹1,499",Weird West,"₹1,499",DeveloperWolfeye Studios,AdventureRPGStealth,Single PlayerController Support,PublisherDevolver Digital,Release Date03/31/22,Windows 10,,6 GB RAM,16,GeForce GTX 650 Ti (1024 MB) / Radeon HD 7770 (1024 MB) or equivalent,64%,Strong,PlatformWindowsWindows,75
Car Tuning Simulator₹25,Car Tuning Simulator,₹25,DeveloperBoom Games,RacingSimulationSports,Single Player,PublisherBoom Games,Release Date01/08/22,Windows,,2 GB RAM,,GeForce GTX 660 Ti or Radeon HD 7870,,,Windows,
It follows you₹49,It follows you,₹49,DeveloperBoom Games,HorrorStealthIndie,Single Player,PublisherBoom Games,Release Date01/14/22,Windows,,2 GB RAM,,GeForce GTX 660 Ti or Radeon HD 7870,,,PlatformWindowsWindows,
Kapital: Sparks of Revolution-15%₹699₹594.15,Kapital: Sparks of Revolution,₹594.15,DeveloperLapovich Team,City BuilderSurvival,Single Player,Publisher1C Entertainment,Release Date04/28/22,Windows 7/8/10,,4 GB,4 GB,"GeForce GTX 660, Radeon R7 370 or equivalent with 2 GB of video RAM",,,PlatformWindowsWindowsMac OSMac OS,
Ghostwire: Tokyo - PreludeFree,Ghostwire: Tokyo - Prelude,Free,DeveloperTango Gameworks,Narration,Single Player,PublisherBethesda Softworks,Release Date03/08/22,Windows 10 (64 Bit),,4 GB RAM,,"Ghostwire: Tokyo - PreludeExperience the mysterious events leading into Tango Gameworks’ highly anticipated action-adventure game, Ghostwire: Tokyo! In Ghostwire: Tokyo – Prelude, join the mysterious KK and his gang of supernatural detectives as they investigate an unusual disappearance, only to stumble upon something even more sinister. Build relationships with your team and piece together their stories in this visual novel adventure before taking to the streets of Ghostwire: Tokyo, releasing March 25.",,,PlatformWindowsWindows,
Helheim Hassle₹469,Helheim Hassle,₹469,DeveloperPerfectly Paranormal,AdventureIndiePlatformer,Single Player,PublisherYogscast Games,Release Date12/13/21,Windows 7 SP1+,,4GB,1500MB,Graphics card with DX10 (shader model 4.0) capabilities. 2GB VRAM.,75%,Strong,Windows,77
